Companies,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Agilent Technologies,Health Care_120.25_1351000000_35518942115_24.4_7.9_27,Health Care_121.77_1351000000_35967913358_25.5_7.9_27,Health Care_121.07_1133000000_35423541142_24.2_5_29.5,Health Care_111.82_1133000000_32717108867_22_5_29.5,Health Care_103.37_1133000000_30244746410_19.9_5_29.5,Health Care_127.8_1240000000_37333350200_25.2_-0.2_19.6,Health Care_139.03_1240000000_40736360301_28_-0.2_22.4,Health Care_130.1_1240000000_38119833670_27_-0.2_22.4,Health Care_137.36_1236000000_40252223983_28_-2.8_13,Health Care_145.51_1236000000_42642474375_29.7_-2.8_13
Aflac,Financials_69.8_4357000000_42175044251_13.5_-11.1_19,Financials_72.34_4357000000_43709780818_13.9_-11.1_19,Financials_74.57_4603000000_44299238984_14.6_-11.1_12.3,Financials_76.75_4603000000_45594295187_15_-11.1_12.3,Financials_78.11_4603000000_46402220157_15.2_-11.1_12.3,Financials_82.71_4576000000_48334060619_12.1_-8.2_7,Financials_82.5_4576000000_48211340843_12_-8.2_7,Financials_84.34_4576000000_49286599838_12.5_-8.2_7,Financials_80.74_4659000000_46587652403_12.6_-2.3_13.9,Financials_85.86_4659000000_49404540325_13.4_-2.3_13.9
Automatic Data Processing,Industrials_219.79_3260600000_90800251201_27.9_9.7_42.2,Industrials_247.26_3412000000_101895846000_30.4_9.2_38.8,Industrials_254.61_3412000000_104895976971_30.9_9.2_41.1,Industrials_240.58_3412000000_99115801185_29.1_9.2_41.1,Industrials_218.22_3492300000_89841174000_25.7_8.5_64.1,Industrials_229.92_3492300000_94567195477_27.3_8.5_62.7,Industrials_232.97_3492300000_95821675063_27.7_8.5_62.7,Industrials_245.78_3492300000_100941846000_28.3_8.5_62.7,Industrials_251.13_3557600000_103161835091_29.2_7.8_41,Industrials_249.74_3557600000_102590836203_29_7.8_41
Amphenol,Information Technology_84.95_1915800000_50572352958_27.8_10.4_41.5,Information Technology_88.31_1903800000_52672848766_29.1_5.3_37.1,Information Technology_88.38_1903800000_52714600543_29.3_5.3_37.1,Information Technology_83.99_1903800000_50096167680_27.9_5.3_37.1,Information Technology_80.55_1921100000_48193889107_26.7_0.4_32.2,Information Technology_90.99_1921100000_54440247919_30.4_0.4_32.2,Information Technology_99.13_1921100000_59310493199_33.1_0.4_32.2,Information Technology_101.1_1928000000_60489164354_32.6_-0.5_31.8,Information Technology_109.24_1928000000_65528144142_34.7_-0.5_35.4,Information Technology_115.35_1928000000_69193257294_36.6_-0.5_35.4
AutoZone,Consumer Discretionary_2493.36_2473627000_45269366866_19.7_8.2_0,Consumer Discretionary_2481.72_2473627000_45058031387_19.6_8.2_0,Consumer Discretionary_2531.33_2473627000_45958749009_20.2_8.2_0,Consumer Discretionary_2539.99_2528426000_46115979700_19.2_7.4_0,Consumer Discretionary_2477.13_2528426000_43681086183_18.7_7.4_0,Consumer Discretionary_2609.93_2528426000_46022847918_19.7_7.4_0,Consumer Discretionary_2585.61_2582571000_44710119901_18.8_6.6_0,Consumer Discretionary_2762.13_2582571000_47762486796_20.6_6.6_0,Consumer Discretionary_3006.02_2621057000_51979809262_21.2_5.6_0,Consumer Discretionary_3151.65_2621057000_54532681633_22.2_5.6_0
Bio Rad,Health Care_379.12_-194720000_11184768630_31.6_-4_-4.8,Health Care_405.36_-194720000_11912050968_34.8_-4_-4.8,Health Care_400.2_-429787000_11572142665_34.2_-3.6_-4,Health Care_358.45_-429787000_10405178797_30.9_-3.6_-4,Health Care_275.28_-159298000_8011486739_21.4_-3_-4.2,Health Care_304.92_-159298000_8896862576_24.3_-3_-4.2,Health Care_322.89_-159298000_9399291716_25.7_-3_-4.2,Health Care_320.89_-159298000_9334135525_26.5_-3_-4.2,Health Care_325.88_-637324000_9297511790_29.1_-4.7_-2.3,Health Care_345.87_-637324000_9794010096_30.9_-4.7_-2.3
Booking Holdings,Consumer Discretionary_2700.33_4024000000_99733048505_26.8_45.2_-245.8,Consumer Discretionary_2970.8_4024000000_109722493362_29.9_45.2_-245.8,Consumer Discretionary_3105.03_4457000000_110825215145_26.5_32.1_-245.8,Consumer Discretionary_3083.95_4457000000_110072824496_26.1_32.1_-245.8,Consumer Discretionary_2789.56_4457000000_99565410691_23.6_32.1_-245.8,Consumer Discretionary_3125.7_5302000000_109055276036_22.7_28.8_-245.8,Consumer Discretionary_3547.22_5302000000_123762055303_25.8_28.8_-245.8,Consumer Discretionary_3507.47_5302000000_122375182851_25.9_28.8_-245.8,Consumer Discretionary_3468.83_4289000000_118533483588_24.7_25_-245.8,Consumer Discretionary_3627.88_4289000000_123968385433_25.8_25_-245.8
BlackRock,Financials_691.14_4899000000_104175049093_21.9_-11.5_7.3,Financials_738.85_5188000000_111366344044_23.6_-10.5_2.8,Financials_700.54_5188000000_105269640711_22.2_-10.5_7.2,Financials_646.49_5188000000_97147586181_20.6_-10.5_7.2,Financials_612.28_5386000000_92006874146_18.3_-5.8_2.8,Financials_751.23_5386000000_112481004564_22.7_-5.8_5.8,Financials_811.8_5386000000_121550097181_24.5_-5.8_5.8,Financials_774.31_5502000000_115936752584_22.8_-0.1_5.8,Financials_811.34_5502000000_121627279214_23.7_-0.1_2.3,Financials_833.7_5502000000_124979247517_24.3_-0.1_2.3
Chipotle Mexican Grill,Consumer Discretionary_2139_1032451000_59014667760_55_14.8_109.2,Consumer Discretionary_1962.28_1114299000_54134621238_44.7_14_91.5,Consumer Discretionary_1926.64_1114299000_53151398710_45.4_14_91.5,Consumer Discretionary_1831.83_1114299000_50535817122_42.9_14_91.5,Consumer Discretionary_1942.2_1170378000_53303018652_43.1_13.3_88.8,Consumer Discretionary_2202.25_1170378000_60440002485_49.7_13.3_88.8,Consumer Discretionary_2286.96_1170378000_62764839634_51.6_13.3_88.8,Consumer Discretionary_2408.77_1170378000_66107873668_54.6_13.3_88.8,Consumer Discretionary_2688.77_1228737000_73729216572_58.9_14.3_90,Consumer Discretionary_2906.77_1228737000_79707031414_63.7_14.3_90
Capital One,Financials_109.37_5917000000_41758145735_7.7_24.9_4.1,Financials_117.02_5317000000_44636278362_8.9_30.7_15.9,Financials_102.39_5317000000_39055789963_8_30.7_15.9,Financials_97.05_5317000000_37018892625_7.6_30.7_15.9,Financials_101.29_5413000000_38591490000_7.7_32_8.2,Financials_111.66_5413000000_42525350450_8.5_32_8.2,Financials_131.12_5413000000_49936628614_10_32_8.2,Financials_135.32_4887000000_51475728000_11.1_29_11.3,Financials_137.61_4887000000_52343194032_11_29_11.3,Financials_148.89_4887000000_56891234823_11.9_29_11.3
Costco,Consumer Staples_538.38_6000000000_238582279201_38.5_8.2_-20,Consumer Staples_560.67_6000000000_248460058842_40.2_8.2_-20,Consumer Staples_549.28_6000000000_243412597644_38.7_8.2_-20,Consumer Staples_564.96_6292000000_250160333280_38_6.8_-25.3,Consumer Staples_552.44_6292000000_244587601596_37.4_6.8_-23.9,Consumer Staples_592.74_6292000000_262430046647_39.9_6.8_-23.9,Consumer Staples_660.08_6517000000_292896252833_43.5_6.3_-32.6,Consumer Staples_694.88_6517000000_308338001710_46.2_6.3_-32.6,Consumer Staples_743.89_6517000000_330085131378_49_6.3_-32.6,Consumer Staples_732.63_6794000000_324924361895_46.4_6.2_-4.3
Discover Financial,Financials_116.85_4126000000_29673593956_7.9_26.2_56.1,Financials_105.55_3916000000_26382010978_7.3_40.9_84.2,Financials_90.07_3916000000_22512816000_6.2_40.9_84.2,Financials_86.63_3916000000_21652994893_6_40.9_84.2,Financials_82.08_3593000000_20524756946_6_41.1_72.2,Financials_93_3593000000_23255389815_6.9_41.1_72.2,Financials_112.4_3593000000_28106514142_8.3_41.1_72.2,Financials_105.52_2940000000_26386115412_9.6_35.5_-27.3,Financials_120.7_2940000000_30242023986_10.7_35.9_65.1,Financials_131.09_2940000000_32846548022_11.6_35.9_65.1
